INSTNM,ZIP,ZIP5,lat,lon
Community College of the Air Force,36114-3011,36114,32.404,-86.2539
Alabama A & M University,35762,35762,34.789,-86.5719
University of Alabama at Birmingham,35294-0110,35294,33.5446,-86.9292
Amridge University,36117-3553,36117,32.3736,-86.1833
University of Alabama in Huntsville,35899,35899,34.7339,-86.6456
Alabama State University,36104-0271,36104,32.373,-86.3081
The University of Alabama,35487-0100,35487,33.3072,-87.5859
Central Alabama Community College,35010,35010,32.9164,-85.9368
Athens State University,35611,35611,34.8036,-86.9707
Auburn University at Montgomery,36117-3596,36117,32.3736,-86.1833
Auburn University,36849,36849,32.6024,-85.4873
Birmingham-Southern College,35254,35254,33.5446,-86.9292
Chattahoochee Valley Community College,36869,36869,32.4204,-85.0796
Concordia College Alabama,36701,36701,32.4197,-87.0245
South University-Montgomery,36116,36116,32.3129,-86.2421
Enterprise State Community College,36330-1300,36330,31.3408,-85.8421
Coastal Alabama Community College,36507-2698,36507,30.8635,-87.7644
Faulkner University,36109-3390,36109,32.3834,-86.2434
Gadsden Business College,35906,35906,33.9318,-86.0898
Gadsden State Community College,35903,35903,33.9845,-85.9077
George C Wallace Community College-Dothan,36303-9234,36303,31.2668,-85.3971
George C Wallace State Community College-Hanceville,35077-2000,35077,34.0516,-86.7848
George C Wallace State Community College-Selma,36702-2808,36702,32.4074,-87.0211
Herzing University-Birmingham,35209,35209,33.4653,-86.8082
Huntingdon College,36106-2148,36106,32.3543,-86.2673
Heritage Christian University,35630-9977,35630,34.8305,-87.656
J. F. Drake State Community and Technical College,35811,35811,34.7789,-86.5438
J F Ingram State Technical College,36022,36022,32.6082,-86.3958
Jacksonville State University,36265,36265,33.831,-85.7752
Jefferson Davis Community College,36426,36426,31.1294,-87.0961
Jefferson State Community College,35215-3098,35215,33.6493,-86.7057
John C Calhoun State Community College,35671,35671,34.6796,-86.9625
Judson College,36756,36756,32.6463,-87.3314
Lawson State Community College,35221-1717,35221,33.4523,-86.8935
University of West Alabama,35470,35470,32.5843,-88.1872
Lurleen B Wallace Community College,36420-1224,36420,31.2971,-86.4905
Marion Military Institute,36756-3207,36756,32.6463,-87.3314
Miles College,35064-2621,35064,33.4735,-86.9183
University of Mobile,36613-2842,36613,30.7951,-88.1823
University of Montevallo,35115-6000,35115,33.1248,-86.8622
Northwest Shoals Community College,35661,35661,34.7561,-87.6304
University of North Alabama,35632-0001,35632,34.87,-87.7069
Northeast Alabama Community College,35986,35986,34.4989,-85.8446
Oakwood University,35896,35896,34.7543,-86.6546
Alabama Southern Community College,36460,36460,31.5153,-87.341
Prince Institute-Southeast,60126,60126,41.8927,-87.941
Reid State Technical College,36401,36401,31.458,-86.9258
Bishop State Community College,36603-5898,36603,30.6921,-88.0562
Samford University,35229-2240,35229,33.4629,-86.7904
Shelton State Community College,35405-8522,35405,33.1617,-87.5144
Snead State Community College,35957-0734,35957,34.1921,-86.1941
University of South Alabama,36688-0002,36688,30.6962,-88.1821
Spring Hill College,36608-1780,36608,30.6817,-88.2945
Southeastern Bible College,35244-2083,35244,33.3538,-86.8254
Stillman College,35401,35401,33.1969,-87.5627
Talladega College,35160,35160,33.4354,-86.1134
H Councill Trenholm State Community College,36108-3199,36108,32.3417,-86.3529
Troy University,36082-0001,36082,31.8028,-85.9546
Tuskegee University,36088-1920,36088,32.4145,-85.7253
United States Sports Academy,36526-7055,36526,30.6197,-87.8895
Bevill State Community College,35501,35501,33.8312,-87.2775
University of Alaska Anchorage,99508,99508,61.206,-149.8101
University of Alaska Fairbanks,99775,99775,64.8591,-147.8267
University of Alaska Southeast,99801-8697,99801,58.3628,-134.5294
Alaska Pacific University,99508,99508,61.206,-149.8101
Alaska Vocational Technical Center,99664-0889,99664,60.1329,-149.3985
Charter College,99508-4103,99508,61.206,-149.8101
Prince William Sound Community College,99686-0097,99686,61.101,-146.9
Alaska Career College,99507-1033,99507,61.1535,-149.8289
Everest College-Phoenix,85021-1641,85021,33.56,-112.0927
Collins College,85040,85040,33.4061,-112.0265
Empire Beauty School-Paradise Valley,85032,85032,33.6238,-112.0044
Empire Beauty School-Tucson,85716,85716,32.2468,-110.9222
Thunderbird School of Global Management,85306-6000,85306,33.6239,-112.1776
American Indian College Inc,85021,85021,33.56,-112.0927
American Institute of Trucking,85043-4380,85043,33.4491,-112.1972
Carrington College-Phoenix North,85051-4063,85051,33.5591,-112.1332
CollegeAmerica-Flagstaff,86001,86001,35.1859,-111.662
Arizona Academy of Beauty,85712,85712,32.25,-110.8869
Miller-Motte College-Arizona Automotive Institute,85301-3579,85301,33.5311,-112.1767
Brookline College-Phoenix,85021,85021,33.56,-112.0927
Arizona State University Campus Immersion,85287,85287,33.4285,-111.9349
Arizona Western College,85365-8834,85365,32.7093,-114.4905
University of Arizona,85721-0066,85721,32.2338,-110.95
Southwest University of Visual Arts-Tucson,85701,85701,32.2139,-110.9694
Brillare Hairdressing Academy,85254,85254,33.6165,-111.9554
Central Arizona College,85128-9030,85128,32.9574,-111.5344
Brown Mackie College-Tucson,85712,85712,32.25,-110.8869
Charles of Italy Beauty College,86403,86403,34.4814,-114.3483
Cochise County Community College District,85635-2317,85635,31.5365,-110.2666
Empire Beauty School-Flagstaff,86004,86004,35.2257,-111.5741
Empire Beauty School-Chandler,85224,85224,33.3301,-111.8632
Cortiva Institute-Tucson,85710,85710,32.2138,-110.824
DeVry University-Arizona,85021-2995,85021,33.56,-112.0927
Avalon Institute-Mesa,85210,85210,33.3887,-111.8428
Eastern Arizona College,85552-0769,85552,32.8504,-109.7461
Embry-Riddle Aeronautical University-Prescott,86301-3720,86301,34.5917,-112.4265
Glendale Community College,85302,85302,33.5675,-112.1753
Grand Canyon University,85017,85017,33.5153,-112.1212
Anthem College-Phoenix,85014,85014,33.5103,-112.0556
Olympian Academy of Cosmetology,85282-6730,85282,33.3917,-111.9249
Lamson College,85284,85284,33.3363,-111.9197
Kaplan College-Phoenix,85029,85029,33.5961,-112.1199
Maricopa Beauty College LLC,85323,85323,33.4321,-112.3438
GateWay Community College,85034,85034,33.4413,-112.0421
Mesa Community College,85202,85202,33.3851,-111.8724
ITT Technical Institute-Tucson,85704-5829,85704,32.3379,-110.9855
ITT Technical Institute-Tempe,85282,85282,33.3917,-111.9249
Mohave Community College,86409-1238,86409,35.2633,-114.0223
Universal Technical Institute of Arizona Inc-Motorcycle Mechanics Institute Division,85323,85323,33.4321,-112.3438
Dine College,86556,86556,36.3071,-109.2176
Northern Arizona University,86011-4092,86011,35.1981,-111.6513
Northland Pioneer College,86025-0610,86025,34.9085,-110.1434
Ottawa University-Phoenix,85021,85021,33.56,-112.0927
Empire Beauty School-Glendale,85304,85304,33.5943,-112.1746
Phoenix College,85013,85013,33.5085,-112.0827
Cortiva Institute-Scottsdale,85257,85257,33.4669,-111.9151
University of Phoenix-Phoenix Campus,85282-2371,85282,33.3917,-111.9249
Pima Community College,85709-1275,85709,32.2008,-110.898
Pima Medical Institute-Tucson,85712,85712,32.25,-110.8869
Pima Medical Institute-Albuquerque,87110,87110,35.1104,-106.5781
Prescott College,86301,86301,34.5917,-112.4265
Refrigeration School Inc,85034-1816,85034,33.4413,-112.0421
Rio Salado College,85281,85281,33.4227,-111.9261
Roberto-Venn School of Luthiery,85007,85007,33.4523,-112.0893
Hair Academy of Safford,85546,85546,32.8295,-109.6266
Scottsdale Community College,85256,85256,33.4858,-111.8533
South Mountain Community College,85042,85042,33.3794,-112.0283
Arizona Christian University,85306-3216,85306,33.6239,-112.1776
Tucson College,85711,85711,32.2127,-110.8829
Universal Technical Institute of Arizona Inc,85323,85323,33.4321,-112.3438
Western International University,85282,85282,33.3917,-111.9249
Empire Beauty School-NW Phoenix,85051,85051,33.5591,-112.1332
Yavapai College,86301,86301,34.5917,-112.4265
University of Arkansas at Little Rock,72204,72204,34.7269,-92.344
University of Arkansas for Medical Sciences,72205-7199,72205,34.751,-92.3455
ABC Beauty College Inc,71923,71923,34.1153,-93.069
Arkansas Baptist College,72202-6068,72202,34.7363,-92.2741
Arkansas Beauty School-Little Rock,72209,72209,34.6725,-92.3529
Arkansas Beauty College,72801,72801,35.2842,-93.1315
Lyon College,72501,72501,35.7826,-91.6352
Arkansas Technical School,72114,72114,34.7666,-92.2629
Arthur's Beauty College,72901-3342,72901,35.3653,-94.411
University of Arkansas,72701,72701,36.052,-94.1534
University of Arkansas at Pine Bluff,71601,71601,34.209,-91.9859
Arkansas State University-Beebe,72012-1000,72012,35.0937,-91.9074
Arkansas State University,72401,72401,35.833,-90.6965
Arkansas Tech University,72801-2222,72801,35.2842,-93.1315
University of Arkansas at Monticello,71656,71656,33.629,-91.791
Arthur's Beauty College,72076,72076,34.919,-92.1419
Baptist Health College Little Rock,72210-2827,72210,34.7076,-92.466
Bee Jays Academy,72501,72501,35.7826,-91.6352
Black River Technical College,72455,72455,36.2829,-90.9968
University of Central Arkansas,72035-0001,72035,35.1053,-92.3549
Central Baptist College,72034,72034,35.0823,-92.4683
Blytheville Academy of Cosmetology,72315,72315,35.9273,-89.919
Cossatot Community College of the University of Arkansas,71832,71832,34.0442,-94.3386
Crowley's Ridge College,72450,72450,36.06,-90.5251
Crowley's Ridge Technical Institute,72335-0925,72335,35.0091,-90.7886
De Luxe Beauty School,71603-1666,71603,34.1897,-92.0448
East Arkansas Community College,72335-2204,72335,35.0091,-90.7886
Eastern College of Health Vocations-Little Rock,72205,72205,34.751,-92.3455
National Park College,71913,71913,34.5317,-93.0638
University of Arkansas Community College-Batesville,72503-3350,72503,35.7346,-91.5343
Harding University,72149-5615,72149,35.2474,-91.7314
Henderson State University,71999-0001,71999,34.1209,-93.0538
Hendrix College,72032-3080,72032,35.0842,-92.4236
Hot Springs Beauty College,71901,71901,34.5268,-92.9587
Jefferson Regional School of Nursing,71603,71603,34.1897,-92.0448
John Brown University,72761,72761,36.18,-94.528
Lees School of Cosmetology,72114-3800,72114,34.7666,-92.2629
Career Academy of Hair Design,72764-7128,72764,36.1716,-94.0428
Marsha Kay Beauty College,72653-3164,72653,36.3312,-92.3753
Academy of Salon and Spa,72901,72901,35.3653,-94.411
Arkansas State University Mid-South,72301-3829,72301,35.1484,-90.1779
Arkansas Northeastern College,72316-1109,72316,35.9273,-89.919
Margaret's Hair Academy Inc,71655,71655,33.625,-91.7948
New Tyler Barber College Inc,72114-4973,72114,34.7666,-92.2629
North Arkansas College,72601-5508,72601,36.2417,-93.1062
Northwest Technical Institute,72764,72764,36.1716,-94.0428
Ouachita Baptist University,71998-0001,71998,34.1209,-93.0538
Arkansas State University Three Rivers,72104-0816,72104,34.3557,-92.8292
Ozarka College,72556-0010,72556,36.0635,-91.9079
University of the Ozarks,72830,72830,35.4908,-93.4911
University of Arkansas Community College-Morrilton,72110,72110,35.1692,-92.7354
Philander Smith University,72202-3799,72202,34.7363,-92.2741
Phillips Community College of the University of Arkansas,72342-0785,72342,34.5325,-90.6298
Southeast Arkansas College,71603,71603,34.1897,-92.0448
University of Aesthetics & Cosmetology,71730-4009,71730,33.2073,-92.6629
University of Arkansas-Pulaski Technical College,72118-3347,72118,34.8337,-92.3289
University of Arkansas Hope-Texarkana,71801,71801,33.6736,-93.6068
University of Arkansas Community College Rich Mountain,71953,71953,34.5814,-94.221
Paul Mitchell the School-Arkansas,72703,72703,36.0992,-94.1716
